Cod_setor,Situacao_setor,V001,V109,V110
250250805000023,5,65,0,MULHER
250250830000001,1,154,0,MULHER
250250830000002,8,71,0,MULHER
250250830000003,8,77,0,MULHER
250250830000004,5,45,0,MULHER
250260705000001,1,316,3,MULHER
250260705000002,1,239,0,MULHER
250260705000003,1,292,0,MULHER
250260705000004,1,360,0,MULHER
250260705000005,8,45,0,MULHER
250260705000006,8,120,0,MULHER
250260705000007,8,129,1,MULHER
250260705000008,8,77,0,MULHER
250260705000009,8,59,0,MULHER
250260705000010,8,28,0,MULHER
250260705000011,8,71,0,MULHER
250270605000001,1,289,114,MULHER
250270605000002,1,266,0,MULHER
250270605000003,1,187,0,MULHER
250270605000004,8,164,0,MULHER
250270605000005,8,89,4,MULHER
250270605000006,8,86,0,MULHER
250270605000007,8,20,0,MULHER
250270605000008,1,303,0,MULHER
250280505000001,1,187,0,MULHER
250280505000002,1,225,0,MULHER
250280505000003,1,101,0,MULHER
250280505000004,1,355,0,MULHER
250280505000005,1,185,0,MULHER
250280505000006,1,166,0,MULHER
250280505000007,1,286,0,MULHER
250280505000008,1,190,0,MULHER
250280505000009,1,333,0,MULHER
250280505000010,8,93,0,MULHER
250280505000011,8,69,0,MULHER
250280505000012,8,195,0,MULHER
250280505000013,8,103,0,MULHER
250280505000014,8,92,0,MULHER
250280505000015,8,133,0,MULHER
250280505000016,8,157,0,MULHER
250280505000017,1,157,0,MULHER
250280505000018,1,194,0,MULHER
250280505000019,1,239,0,MULHER
250280505000020,1,172,0,MULHER
250290405000001,1,137,0,MULHER
250290405000002,1,224,0,MULHER
250290405000003,1,235,0,MULHER
250290405000004,1,352,0,MULHER
250290405000005,8,97,0,MULHER
250290405000006,8,91,0,MULHER
250290405000007,8,87,0,MULHER
250290405000008,8,153,2,MULHER
250290405000009,1,269,0,MULHER
250290405000010,1,185,1,MULHER
250300105000001,1,242,0,MULHER
250300105000002,1,343,0,MULHER
250300105000003,1,285,0,MULHER
250300105000004,1,265,0,MULHER
250300105000005,1,262,0,MULHER
250300105000006,1,223,0,MULHER
